accession,pairs,gene,protein,seq_len,class,is_ion_channel
Q8NG68,18,TTL,Tubulin--tyrosine ligase (TTL) (EC 6.3.2.25),377,other,False
Q15465,18,SHH,Sonic hedgehog protein (SHH) (EC 3.1.-.-) (HHG-1) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)],462,protease,False
Q48481,17,rfbD,Probable UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase),384,other,False
P25440,17,BRD2,Bromodomain-containing protein 2 (O27.1.1),801,other,False
P11166,17,SLC2A1,"Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)",492,other,False
P19754,17,ADCY1,Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (AC1) (Ca(2+)/calmodulin-activated adenylyl cyclase),1134,other,False
P14920,17,DAO,D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3),347,other,False
P20916,17,MAG,Myelin-associated glycoprotein (Siglec-4a),626,other,False
P30969,17,Gnrhr,Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R),327,gpcr,False
P31391,17,SSTR4,Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R) (SST4),388,gpcr,False
P00797,16,REN,Renin (EC 3.4.23.15) (Angiotensinogenase),406,protease,False
P00374,16,DHFR,Dihydrofolate reductase (EC 1.5.1.3),187,other,False
P25929,16,NPY1R,Neuropeptide Y receptor type 1 (NPY1-R),384,gpcr,False
P28867,15,Prkcd,Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],674,kinase,False
P26684,15,Ednra,Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ET-AR),426,gpcr,False
P49146,15,NPY2R,Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor),381,gpcr,False
O95931,15,CBX7,Chromobox protein homolog 7,251,other,False
P25023,15,Bdkrb2,B2 bradykinin receptor (B2R) (BK-2 receptor),396,gpcr,False
P34995,14,PTGER1,Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor),402,gpcr,False
P30547,14,TACR1,Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1),407,gpcr,False
P22935,14,Crabp2,Cellular retinoic acid-binding protein 2 (Cellular retinoic acid-binding protein II) (CRABP-II),138,other,False
P16110,14,Lgals3,Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (IgE-binding protein) (L-34 galactoside-binding lectin) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen),264,other,False
P63104,14,YWHAZ,14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1),245,kinase,False
P25104,14,AGTR1,Type-1 angiotensin II receptor (Angiotensin II type-1 receptor) (AT1 receptor),359,gpcr,False
Q15109,14,AGER,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),404,other,False
Q07869,14,PPARA,Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1),468,nuclear_receptor,False
P35375,14,Ptger1,Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor),405,gpcr,False
P08482,14,Chrm1,Muscarinic acetylcholine receptor M1,460,gpcr,False
Q04609,14,FOLH1,Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase),750,protease,False
P35354,13,PTGS2,Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2),604,other,False
P17252,13,PRKCA,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),672,kinase,False
P30082,13,Gcgr,Glucagon receptor (GL-R),485,gpcr,False
P15311,13,EZR,Ezrin (Cytovillin) (Villin-2) (p81),586,other,False
P62965,13,Crabp1,Cellular retinoic acid-binding protein 1 (Cellular retinoic acid-binding protein I) (CRABP-I),137,other,False
P08254,13,MMP3,Stromelysin-1 (SL-1) (EC 3.4.24.17) (Matrix metalloproteinase-3) (MMP-3) (Transin-1),477,protease,False
Q14145,13,KEAP1,Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19),624,other,False
P35368,13,ADRA1B,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),520,gpcr,False
Q9GZT9,13,EGLN1,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20),426,other,False
P0AC13,12,folP,Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase),282,other,False
P48044,12,AVPR2,Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor),370,gpcr,False
P98170,12,XIAP,E3 ubiquitin-protein ligase XIAP (EC 2.3.2.27) (Baculoviral IAP repeat-containing protein 4) (IAP-like protein) (ILP) (hILP) (Inhibitor of apoptosis protein 3) (IAP-3) (hIAP-3) (hIAP3) (RING-type E3 ubiquitin transferase XIAP) (X-linked inhibitor of apoptosis protein) (X-linked IAP),497,other,False
Q16850,12,CYP51A1,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (CYP51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),503,other,False
P0A9J4,12,panE,2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR),303,other,False
Q9UIF8,12,BAZ2B,Bromodomain adjacent to zinc finger domain protein 2B (hWALp4),2168,other,False
P45040,12,cysK,Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase),316,other,False
P29375,12,KDM5A,Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A),1690,other,False
P41144,12,OPRK1,Kappa-type opioid receptor (K-OR-1) (KOR-1),380,gpcr,False
Q9HC52,12,CBX8,Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (hPc3) (Rectachrome 1),389,other,False
P08684,12,CYP3A4,"Cytochrome P450 3A4 (EC 1.14.14.1) (1,4-cineole 2-exo-monooxygenase) (1,8-cineole 2-exo-monooxygenase) (EC 1.14.14.56) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Albendazole sulfoxidase) (CYPIIIA3) (CYPIIIA4) (Cholesterol 25-hydroxylase) (Cytochrome P450 3A3) (Cytochrome P450 HLp) (Cytochrome P450 NF-25) (Cytochrome P450-PCN1) (Nifedipine oxidase) (Quinine 3-monooxygenase) (EC 1.14.14.55)",503,other,False
P22756,12,Grik1,"Glutamate receptor ionotropic, kainate 1 (GluK1) (Glutamate receptor 5) (GluR-5) (GluR5)",949,ion_channel,True
P00916,11,CA1,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase I) (CA-I) (Cyanamide hydratase CA1) (EC 4.2.1.69),261,other,False
P0DMS8,11,ADORA3,Adenosine receptor A3,318,gpcr,False
P00917,11,CA1,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase I) (CA-I) (Cyanamide hydratase CA1) (EC 4.2.1.69),260,other,False
O14640,11,DVL1,Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1),695,other,False
P08483,11,Chrm3,Muscarinic acetylcholine receptor M3,589,gpcr,False
Q15059,11,BRD3,Bromodomain-containing protein 3 (RING3-like protein),726,other,False
O43175,11,PHGDH,D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37),533,other,False
P50129,11,HTR2A,5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (5-HT2A) (Serotonin receptor 2A),470,gpcr,False
P05181,11,CYP2E1,Cytochrome P450 2E1 (EC 1.14.14.1) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-J),493,other,False
P16070,11,CD44,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),742,other,False
Q9QYN8,11,Hrh3,Histamine H3 receptor (H3R) (HH3R),445,gpcr,False
P9WPL4,11,cyp142,Steroid C26-monooxygenase (EC 1.14.15.28) (Cholest-4-en-3-one C26-monooxygenase) (Cholest-4-en-3-one C26-monooxygenase [(25R)-3-oxocholest-4-en-26-oate forming]) (Cholesterol C26-monooxygenase) (Cholesterol C26-monooxygenase [(25R)-3beta-hydroxycholest-5-en-26-oate forming]) (Cytochrome P450 142) (Steroid C27-monooxygenase),372,other,False
P01730,11,CD4,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4),458,other,False
Q14451,10,GRB7,Growth factor receptor-bound protein 7 (B47) (Epidermal growth factor receptor GRB-7) (GRB7 adapter protein),532,other,False
P30556,10,AGTR1,Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor),359,gpcr,False
O75936,10,BBOX1,"Gamma-butyrobetaine dioxygenase (EC 1.14.11.1) (Gamma-butyrobetaine hydroxylase) (Gamma-BBH) (Gamma-butyrobetaine,2-oxoglutarate dioxygenase)",387,other,False
P28702,10,RXRB,Retinoic acid receptor RXR-beta (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta),533,nuclear_receptor,False
P29371,10,TACR3,Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3),465,gpcr,False
O00625,10,PIR,"Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)",290,other,False
Q9HYR3,10,,Uncharacterized PhzA/B-like protein PA3332,141,other,False
P39900,10,MMP12,Macrophage metalloelastase (MME) (EC 3.4.24.65) (Macrophage elastase) (ME) (hME) (Matrix metalloproteinase-12) (MMP-12),470,protease,False
P16177,10,Tacr3,Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3),452,gpcr,False
P05413,10,FABP3,"Fatty acid-binding protein, heart (Fatty acid-binding protein 3) (Heart-type fatty acid-binding protein) (H-FABP) (Mammary-derived growth inhibitor) (MDGI) (Muscle fatty acid-binding protein) (M-FABP)",133,other,False
P32300,10,Oprd1,Delta-type opioid receptor (D-OR-1) (DOR-1) (K56) (MSL-2),372,gpcr,False
P9WIK2,10,cysH,Adenosine 5'-phosphosulfate reductase (APS reductase) (EC 1.8.4.10) (5'-adenylylsulfate reductase) (Thioredoxin-dependent 5'-adenylylsulfate reductase),254,other,False
P9WNS1,10,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase),413,other,False
P08246,9,ELANE,Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase),267,protease,False
P35367,9,HRH1,Histamine H1 receptor (H1-R) (H1R) (HH1R),487,gpcr,False
P53041,9,PPP5C,Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT),499,phosphatase,False
P33535,9,Oprm1,Mu-type opioid receptor (M-OR-1) (MOR-1) (Opioid receptor B),398,gpcr,False
Q8CFK4,9,Tec,Tyrosine-protein kinase (EC 2.7.10.2),608,kinase,False
P9WPP0,9,cyp125,Steroid C26-monooxygenase (EC 1.14.15.29) (Cholest-4-en-3-one 26-monooxygenase) (Cholest-4-en-3-one C26-monooxygenase [(25S)-3-oxocholest-4-en-26-oate forming]) (Cholesterol C26-monooxygenase) (Cholesterol C26-monooxygenase [(25S)-3beta-hydroxycholest-5-en-26-oate forming]) (Cytochrome P450 125) (Steroid C27-monooxygenase),433,other,False
P11473,9,VDR,"Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)",427,nuclear_receptor,False
P51681,9,CCR5,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195),352,gpcr,False
Q08722,9,CD47,Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47),323,other,False
P21836,9,Ache,Acetylcholinesterase (AChE) (EC 3.1.1.7),614,other,False
P0A6D3,9,aroA,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),427,other,False
P08908,9,HTR1A,5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A),422,gpcr,False
P15379,9,Cd44,CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Lymphocyte antigen 24) (Ly-24) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),778,other,False
P30543,9,Adora2a,Adenosine receptor A2a,410,gpcr,False
Q03181,9,PPARD,Peroxisome proliferator-activated receptor delta (PPAR-delta) (NUCI) (Nuclear hormone receptor 1) (NUC1) (Nuclear receptor subfamily 1 group C member 2) (Peroxisome proliferator-activated receptor beta) (PPAR-beta),441,nuclear_receptor,False
P03372,9,ESR1,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),595,nuclear_receptor,False
Q61337,9,Bad,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),204,other,False
P25116,9,F2R,Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor),425,gpcr,False
Q15119,9,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)",407,kinase,False
P35218,8,CA5A,"Carbonic anhydrase 5A, mitochondrial (EC 4.2.1.1) (Carbonate dehydratase VA) (Carbonic anhydrase VA) (CA-VA)",305,other,False
P28700,8,Rxra,Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha),467,nuclear_receptor,False
P34998,8,CRHR1,Corticotropin-releasing factor receptor 1 (CRF-R-1) (CRF-R1) (CRFR-1) (Corticotropin-releasing hormone receptor 1) (CRH-R-1) (CRH-R1),444,gpcr,False
P25098,8,GRK2,Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2),689,kinase,False
P42535,8,pcpB,Pentachlorophenol 4-monooxygenase (EC 1.14.13.50) (Pentachlorophenol hydroxylase),538,other,False
P0A722,8,lpxA,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129),262,other,False
Q09472,8,EP300,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein isonicotinyltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-),2414,other,False
O42275,8,ache,Acetylcholinesterase (AChE) (EC 3.1.1.7),633,other,False
P80370,8,DLK1,Protein delta homolog 1 (DLK-1) (pG2) [Cleaved into: Fetal antigen 1 (FA1)],383,other,False
O66809,8,ftsZ,Cell division protein FtsZ,367,other,False
P9WP01,8,punA,Purine nucleoside phosphorylase (PNP) (Pu-NPase) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),268,other,False
P30561,8,Ahr,Aryl hydrocarbon receptor (Ah receptor) (AhR),848,other,False
P97287,8,Mcl1,Induced myeloid leukemia cell differentiation protein Mcl-1 homolog (Bcl-2-related protein EAT/mcl1),331,other,False
P43144,8,Chrna9,Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9),479,ion_channel,True
O74036,8,radA,DNA repair and recombination protein RadA,349,other,False
P48061,8,CXCL12,Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67)],93,other,False
O95622,8,ADCY5,Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5) (AC5),1261,other,False
P51532,8,SMARCA4,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4 (SMARCA4) (EC 3.6.4.-) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (Transcription activator BRG1),1647,other,False
P52732,8,KIF11,Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5),1056,other,False
P9WMC1,8,ethR,HTH-type transcriptional regulator EthR,216,other,False
Q00194,7,CNGA1,"Cyclic nucleotide-gated channel alpha-1 (CNG channel alpha-1) (CNG-1) (CNG1) (Cyclic nucleotide-gated cation channel 1) (Cyclic nucleotide-gated channel, photoreceptor) (Rod photoreceptor cGMP-gated cation channel subunit alpha) (cGMP-gated cation channel alpha-1)",690,ion_channel,True
Q9Y6Y9,7,LY96,Lymphocyte antigen 96 (Ly-96) (ESOP-1) (Protein MD-2),160,other,False
Q63T71,7,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)",162,other,False
P9WH75,7,nrdE,Ribonucleoside-diphosphate reductase subunit alpha (EC 1.17.4.1) (Ribonucleotide reductase R1 subunit),725,other,False
Q02790,7,FKBP4,"Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]",459,other,False
Q92831,7,KAT2B,Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57),832,other,False
Q08209,7,PPP3CA,Protein phosphatase 3 catalytic subunit alpha (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calcineurin A alpha) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha) (Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform),521,phosphatase,False
Q08499,7,PDE4D,"3',5'-cyclic-AMP phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43) (cAMP-specific phosphodiesterase 4D)",809,other,False
Q9H2K2,7,TNKS2,Poly [ADP-ribose] polymerase tankyrase-2 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (Poly [ADP-ribose] polymerase 5B) (Protein poly-ADP-ribosyltransferase tankyrase-2) (EC 2.4.2.-) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II) (Tankyrase-2) (TANK2) (Tankyrase-like protein) (Tankyrase-related protein),1166,other,False
P9WPN4,7,cyp130,Cytochrome P450 130 (EC 1.14.-.-),405,other,False
Q9H2J4,7,PDCL3,Phosducin-like protein 3 (HTPHLP) (PhPL3) (Viral IAP-associated factor 1) (VIAF-1),239,other,False
P9WPN5,7,cyp130,Cytochrome P450 130 (EC 1.14.-.-),405,other,False
Q16831,7,UPP1,Uridine phosphorylase 1 (UPase 1) (UrdPase 1) (EC 2.4.2.3),310,other,False
Q99895,7,CTRC,Chymotrypsin-C (EC 3.4.21.2) (Caldecrin),268,protease,False
Q9H4B7,7,TUBB1,Tubulin beta-1 chain,451,other,False
Q9Z429,7,nahY,Methyl-accepting chemotaxis protein NahY,538,other,False
P33033,7,Mc3r,Melanocortin receptor 3 (MC3-R),323,gpcr,False
P29275,7,ADORA2B,Adenosine receptor A2b,332,gpcr,False
P15121,7,AKR1B1,Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR),316,other,False
P18911,7,Rarg,Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3),458,nuclear_receptor,False
P47211,7,GALR1,Galanin receptor type 1 (GAL1-R) (GALR-1),349,gpcr,False
P05162,7,LGALS2,Galectin-2 (Gal-2) (Beta-galactoside-binding lectin L-14-II) (HL14) (Lactose-binding lectin 2) (S-Lac lectin 2),132,other,False
P05067,7,APP,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31],770,protease,False
P04271,7,S100B,Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B),92,other,False
P36544,7,CHRNA7,Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7),502,ion_channel,True
P22605,7,Rarb,Retinoic acid receptor beta (RAR-beta) (Nuclear receptor subfamily 1 group B member 2),482,nuclear_receptor,False
P01024,7,C3,Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b (Complement C3b-alpha' chain); Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2],1663,other,False
P11416,7,Rara,Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1),462,nuclear_receptor,False
P00746,7,CFD,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),253,protease,False
P28222,7,HTR1B,5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B),390,gpcr,False
P18031,7,PTPN1,Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B),435,phosphatase,False
O43172,7,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4),522,other,False
O43603,7,GALR2,Galanin receptor type 2 (GAL2-R) (GALR-2),387,gpcr,False
P31390,7,Hrh1,Histamine H1 receptor (H1R) (HH1R),486,gpcr,False
P30987,7,Tbxa2r,Thromboxane A2 receptor (TXA2-R) (Prostanoid TP receptor),341,gpcr,False
P37288,6,AVPR1A,Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor),418,gpcr,False
P47900,6,P2RY1,P2Y purinoceptor 1 (P2Y1) (ADP receptor) (Purinergic receptor),373,gpcr,False
P21645,6,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (Protein FirA) (Rifampicin resistance protein) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase),341,other,False
Q9Y2D0,6,CA5B,"Carbonic anhydrase 5B, mitochondrial (EC 4.2.1.1) (Carbonate dehydratase VB) (Carbonic anhydrase VB) (CA-VB)",317,other,False
P21452,6,TACR2,Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2),398,gpcr,False
P05121,6,SERPINE1,Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1),402,other,False
P15090,6,FABP4,"Fatty acid-binding protein, adipocyte (Adipocyte lipid-binding protein) (ALBP) (Adipocyte-type fatty acid-binding protein) (A-FABP) (AFABP) (Fatty acid-binding protein 4)",132,other,False
